"cas"
"110-46-3"
"12048-50-9"
"15829-53-5"
"-"
"-"
"35609-19-9"
"77099-06-0"
"-"
"79199-84-1"
"76134-84-4"
"85391-77-1"
"19296-90-3"
"51685-40-6"
"36065-09-5"
"26839-76-9"
"73094-38-9"
"22972-96-9"
"77086-22-7"
"-"
"37002-48-5"
"16101-11-4"
"74651-66-4"
"97889-91-3"
"39648-48-1"
"79893-56-4"
"79893-50-8"
"71589-39-4"
"5856-62-2"
"2749-11-3"
"70886-58-7"
"50373-28-9"
"93919-91-6"
"94086-40-5"
"38321-02-7"
"66264-86-6"
"26839-77-0"
"623-82-5"
"13368-65-5"
"6672-30-6"
"58600-86-5"
"83846-95-1"
"93838-91-6"
"50499-60-0"
"50310-83-3"
"32793-78-5"
"66264-97-9"
"38176-02-2"
"464-49-3"
"3776-92-9"
"1196-31-2"
"1119-34-2"
"15356-60-2"
"3391-87-5"
"667-83-4"
"5843-53-8"
"31915-71-6"
"2216-52-6"
"2552-91-2"
"7785-70-8"
"87-69-4"
"93838-93-8"
"154-41-6"
"486-87-3"
"20445-31-2"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"-"
"18675-17-7"
"18675-16-6"
"71605-84-0"
"71648-16-3"
"95873-68-0"
"56172-46-4"
"95873-67-9"
"71648-17-4"
"56000-16-9"
"-"
"76134-83-3"
"85391-75-9"
"36275-29-3"
"73094-40-3"
"53531-34-3"
"32305-98-9"
"65511-03-7"
"74651-64-2"
"74651-65-3"
"2385-74-2"
"39648-47-0"
"58997-92-5"
"79893-46-2"
"79893-51-9"
"1492-24-6"
"4052-59-9"
"94006-07-2"
"7540-51-4"
"67601-05-2"
"93919-93-8"
"10486-12-1"
"36622-29-4"
"65687-00-5"
"31798-12-6"
"50306-03-1"
"50310-85-5"
"83803-72-9"
"27912-14-7"
"32793-87-6"
"36622-28-3"
"464-48-2"
"52580-60-6"
"157-06-2"
"6284-35-1"
"4951-48-8"
"33817-09-3"
"14818-98-5"
"75703-13-8"
"14818-97-4"
"23519-20-2"
"6106-46-3"
"18172-67-3"
"7785-26-4"
"515-00-4"
"25465-65-0"
"6192-98-9"
"147-71-7"
"-"
"94006-09-4"
"39878-87-0"
"17257-71-5"
"5137-46-2"
"-"
"350-57-2"
"681-49-2"
"95892-15-2"
"5833-59-0"
"5360-04-3"
"27193-28-8"
"64051-37-2"
"17898-71-4"
"18547-93-8"
"5168-50-3"
"55844-53-6"
"4316-35-2"
"77203-01-1"
"56065-37-3"
"83317-65-1"
"94158-51-7"
"56762-23-3"
"85895-82-5"
"1074-11-9"
"487-16-1"
"5054-75-1"
"84145-77-7"
"94247-97-9"
"70331-94-1"
"24928-72-1"
"23691-27-2"
"51348-90-4"
"1166-46-7"
"85099-26-9"
"5351-85-9"
"50884-01-0"
"36799-28-7"
"52509-14-5"
"94279-12-6"
"74921-47-4"
"55067-10-2"
"94020-97-0"
"3625-81-8"
"17471-82-8"
"93981-65-8"
"83846-75-7"
"68201-83-2"
"-"
"6168-86-1"
"1971-57-9"
"83781-02-6"
"100683-80-5"
"5984-59-8"
"71750-52-2"
"68877-29-2"
"15049-85-1"
"94139-04-5"
"13683-41-5"
"64090-83-1"
"94088-01-4"
"34135-79-0"
"16545-85-0"
"686-83-9"
"96-55-9"
"934-53-2"
"83803-75-2"
"672-65-1"
"7787-87-3"
"6651-36-1"
"19980-43-9"
"1712-74-9"
"72727-64-1"
"-"
"3299-05-6"
"5417-82-3"
"23276-77-9"
"12289-44-0"
"25209-52-3"
"-"
"34274-29-8"
"93966-43-9"
"93966-42-8"
"85443-51-2"
"67953-76-8"
"29329-71-3"
"25537-17-1"
"93940-95-5"
"935-67-1"
"93963-41-8"
"67810-86-0"
"72928-42-8"
"42978-66-5"
"27576-86-9"
"34364-42-6"
"63340-28-3"
"24142-77-6"
"2689-63-6"
"80842-08-6"
"7583-53-1"
"17827-53-1"
"1321-57-9"
"25640-78-2"
"83929-73-1"
"42146-13-4"
"24448-20-2"
"24447-78-7"
"56744-60-6"
"56361-55-8"
"27689-12-9"
"51989-01-6"
"93962-75-5"
"66710-97-2"
"70146-06-4"
"70146-05-3"
"78260-87-4"
"72845-43-3"
"24447-72-1"
"67952-50-5"
"1565-94-2"
"4687-94-9"
"92068-28-5"
"24293-41-2"
"39664-33-0"
"38595-90-3"
"-"
"27985-70-2"
"17293-59-3"
"3595-14-0"
"63451-53-6"
"67859-73-8"
"1520-44-1"
"79489-99-9"
"13653-62-8"
"23277-00-1"
"68209-66-5"
"68209-43-8"
"72823-46-2"
"68209-67-6"
"68209-45-0"
"68209-44-9"
"4747-11-9"
"68692-77-3"
"75180-41-5"
"84255-54-9"
"84255-55-0"
"57213-94-2"
"29385-40-8"
"26857-99-8"
"40766-31-2"
"135-36-4"
"3220-50-6"
"29036-21-3"
"36067-56-8"
"78946-84-6"
"22887-42-9"
"1062-64-2"
"94237-33-9"
"76738-96-0"
"37927-29-0"
"84878-45-5"
"14507-45-0"
"78946-83-5"
"596-59-8"
"81201-81-2"
"94291-96-0"
"31282-07-2"
"28449-43-6"
"61342-13-0"
"54048-10-1"
"77881-13-1"
"2697-92-9"
"94134-95-9"
"94405-98-8"
"22957-48-8"
"33261-95-9"
"94405-99-9"
"71507-21-6"
"60413-79-8"
"1045-69-8"
"2484-30-2"
"2363-59-9"
"85611-01-4"
"55322-91-3"
"66113-84-6"
"85048-01-7"
"52884-86-3"
"15910-11-9"
"3588-13-4"
"676-22-2"
"706-31-0"
"94088-11-6"
"14458-76-5"
"6270-63-9"
"86-96-4"
"36203-31-3"
"486-86-2"
"51800-98-7"
"2792-42-9"
"595-29-9"
"-"
"17087-37-5"
"85504-89-8"
"5794-03-6"
"51800-99-8"
"18309-32-5"
"35836-73-8"
"19894-97-4"
"5937-74-6"
"35963-20-3"
"5202-25-5"
"29118-70-5"
"-"
"56-25-7"
"74219-20-8"
"32511-34-5"
"464-43-7"
"20347-65-3"
"-"
"-"
"-"
"52612-42-7"
"53955-46-7"
"26771-11-9"
"2102-59-2"
"7111-29-7"
"23733-66-6"
"67518-98-3"
"31638-54-7"
"10293-06-8"
"24629-78-5"
"67518-96-1"
"4489-14-9"
"4638-92-0"
"61914-47-4"
"6113-09-3"
"-"
"-"
"1079-01-2"
"-"
"4695-62-9"
"36065-15-3"
"2767-84-2"
"595-31-3"
"85237-40-7"
"17205-71-9"
"85504-88-7"
"5794-04-7"
"-"
"-"
"96507-71-0"
"60154-14-5"
"93777-05-0"
"31702-83-7"
"63768-21-8"
"19326-29-5"
"32601-57-3"
"13572-62-8"
"498-15-7"
"4105-12-8"
"-"
"639-99-6"
"-"
"5947-49-9"
"-"
"23283-97-8"
"88-84-6"
"52612-52-9"
"56650-12-5"
"26771-06-2"
"76704-28-4"
"4497-92-1"
"-"
"-"
"512-13-0"
"67253-41-2"
"85717-26-6"
"464-45-9"
"63373-82-0"
"46365-22-4"
"67999-30-8"
"85551-27-5"
"85699-69-0"
"511-59-1"
"26770-95-6"
"2259-14-5"
"2102-58-1"
"7053-79-4"
"38235-58-4"
"5103-71-9"
"319-86-8"
"6108-10-7"
"19899-32-2"
"319-84-6"
"2746-19-2"
"53584-57-9"
"2613-72-1"
"97158-28-6"
"4850-28-6"
